Utterances,Potential Intent
|I would like to pay ninety dollars on my bill                                                                                                                                                                                        |,Make a payment
|I'd like to pay one hundred and twenty dollars on my bill                                                                                                                                                                            |,Make a payment
|I would not be charged five dollars for paying this bill will I                                                                                                                                                                      |,Make a payment
|I would like to pay my bill seventy dollars                                                                                                                                                                                           |,Make a payment
|I would like to pay my bill of seventy nine dollars                                                                                                                                                                                   |,Make a payment
|I'd like to pay fifty dollars on my bill                                                                                                                                                                                              |,Make a payment
|I'd like to pay two hundred and six dollars on my bill                                                                                                                                                                                |,Make a payment
|I would like to pay one hundred and ten dollars on my bill                                                                                                                                                                                                                                                  |,Make a payment
|I would like to pay one hundred dollars on my bill                                                                                                                                                                                                                                                          |,Make a payment
|I would like to pay my bill for thirty four dollars                                                                                                                                                                                                                                                         |,Make a payment
|I would like to take my bill twenty four dollars                                                                                                                                                                                                                                                            |,Make a payment
|I would like to pay eighty two dollars on my bill                                                                                                                                                                                                                                                           |,Make a payment
|I would like to pay my bill amount of two hundred                                                                                                                                                                                                                                                           |,Make a payment
|I'd like to have a bill of seventy four dollars                                                                                                                                                                                                                                                             |,Make a payment
|I'd like to pay ninety dollars towards my bill                                                                                                                                                                                                                                                              |,Make a payment
|I'd like to pay two hundred dollars on my bill                                                                                                                                                                                                                                                              |,Make a payment
|I'd like to pay sixty dollars on my bill                                                                                                                                                                                                                                                                    |,Make a payment
|I would like to pay one hundred and fifty on my bill                                                                                                                                                                                                                                                        |,Make a payment
|I'd like to pay my spectrum bill for two hundred and                                                                                                                                                                                                                                                        |,Make a payment
|I would like the thirty dollars off from the bill                                                                                                                                                                                                                                                           |,Make a payment
|I'd like to pay one hundred dollars on my bill                                                                                                                                                                                                                                                              |,Make a payment
|I'd like to pay my bill seven five dollars                                                                                                                                                                                                                                                                  |,Make a payment
|I would like to pay my bill today the sixty one dollars                                                                                                                                                                                                                                                     |,Make a payment
|I would like to pay the seventy four dollars on my spectrum bill                                                                                                                                                                                                                                            |,Make a payment
|I would like to pay my bill of twenty five fifteen                                                                                                                                                                                                                                                          |,Make a payment
|I would like to pay fifty nine ninety nine on my mobile bill                                                                                                                                                                                                                                                |,Make a payment
|I would like to put one hundred dollars on my bill                                                                                                                                                                                                                                                          |,Make a payment
|I would like to pay seventy five dollars on my bill                                                                                                                                                                                                                                                         |,Make a payment
|I would like to pay fifty five dollars on my bill                                                                                                                                                                                                                                                           |,Make a payment
|I would like to pay my phone bill eight dollars and ninety nine cents                                                                                                                                                                                                                                       |,Make a payment
|I'd like twenty dollars in my bill                                                                                                                                                                                                                                                                          |,Make a payment
|I would like to pay one hundred twenty dollars on my bill                                                                                                                                                                                                                                                   |,Make a payment
|I'd like to pay two hundred dollars on my cable bill                                                                                                                                                                                                                                                        |,Make a payment
|I would like to pay my phone bill for next month twenty dollars                                                                                                                                                                                                                                             |,Make a payment
|I'd like to pay my monthly bill of fourteen dollars                                                                                                                                                                                                                                                         |,Make a payment
|I'd like to pay ten dollars towards my bill                                                                                                                                                                                                                                                                 |,Make a payment
|I would like to pay fifty dollars on my bill                                                                                                                                                                                                                                                                |,Make a payment
|I would like to pay my bill on the debit card and seventy six dollars                                                                                                                                                                                                                                       |,Make a payment
|How about pay my bill                                                                                                                                                                                                                |,Make a payment
|How about paying my bill                                                                                                                                                                                                             |,Make a payment
|How about paid my monthly bill yet                                                                                                                                                                                                    |,Make a payment
|How about paying for a sorry ass bill                                                                                                                                                                                                                                                                       |,Make a payment
|How about paying the bill                                                                                                                                                                                                                                                                                   |,Make a payment
|Pay my bill would you shut up                                                                                                                                                                                                         |,Make a payment
|Pay my bill                                                                                                                                                                                                                                                                           |,Make a payment
|Yes pay a bill for fucking                                                                                                                                                                                                                                                                                  |,Make a payment
|Pay my bill for shut up no                                                                                                                                                                                                                                                                                  |,Make a payment
|Yes pay the fucking bill                                                                                                                                                                                                                                                                                    |,Make a payment
|Pay my bill you guys be quiet                                                                                                                                                                                                                                                                               |,Make a payment
|Pay my bill can you just shut off                                                                                                                                                                                                                                                                           |,Make a payment
|Pay my bill start that shit                                                                                                                                                                                                                                                                                 |,Make a payment
|Trying to pay bill                                                                                                                                                   |,Make a payment
|Like to pay my fucking bill                                                                                                                                                                                                          |,Make a payment
|Paying the fucking bill                                                                                                                                                                                                              |,Make a payment
|Paying this damn bill                                                                                                                                                                                                                |,Make a payment
|Trying to pay my fucking bill                                                                                                                                                                                                        |,Make a payment
|Paying a fucking bill                                                                                                                                                                                                                 |,Make a payment
|To pay my fucking bill                                                                                                                                                                                                                |,Make a payment
|To pay my fucking bill bitch                                                                                                                                                                                                                                                                                |,Make a payment
|To pay a bill asshole                                                                                                                                                                                                                                                                                       |,Make a payment
|Trying to pay my fucking bills                                                                                                                                                                                                                                                                              |,Make a payment
|Paying my fucking bill                                                                                                                                                                                                                                                                                      |,Make a payment
|To pay the goddamn bill                                                                                                                                                                                                                                                                                     |,Make a payment
|To pay the fucking bill                                                                                                                                                                                                                                                                                     |,Make a payment
|To pay my bill fucking idiot                                                                                                                                                                                                                                                                                |,Make a payment
|Paying this terrible outrageous bill                                                                                                                                                                                                                                                                        |,Make a payment
|Checking on the fucking bill                                                                                                                                                                                                                                                                                |,Make a payment
|To pay the fucking my bill                                                                                                                                                                                                                                                                                  |,Make a payment
|Problem paying a fucking bill                                                                                                                                                                                                                                                                               |,Make a payment
|Pay my bill pay my fucking bill                                                                                                                                                    |,Make a payment
|Pay bill damn it                                                                                                                                                                   |,Make a payment
|Pay my bill bill pay my fucking bill bill                                                                                                                                                |,Make a payment
|Pay my bill fucking fucking thing                                                                                                                                                        |,Make a payment
|My fucking bill pay my bill pay my bill before you pay my bill                                                                                                                                                            |,Make a payment
|Pay my fucking bill motherfucker                                                                                                                                                                                                     |,Make a payment
|Pay my god damn bills                                                                                                                                                                                                                |,Make a payment
|Pay bill fucking idiot                                                                                                                                                                                                               |,Make a payment
|Pay my fucking bill you piece of shit                                                                                                                                                                                                |,Make a payment
|Take this off my bill you fucking                                                                                                                                                                                                    |,Make a payment
|Pay pay my bill bitch                                                                                                                                                                                                                |,Make a payment
|Pay my bill you stupid bitch                                                                                                                                                                                                         |,Make a payment
|Pay my fucking bill bitch                                                                                                                                                                                                            |,Make a payment
|To pay my bill damn                                                                                                                                                                                                                  |,Make a payment
|Pay my fucking overly priced bill                                                                                                                                                                                                    |,Make a payment
|Lower my god damn bill                                                                                                                                                                                                                |,Make a payment
|Pay my bill motherfucking                                                                                                                                                                                                             |,Make a payment
|Need my bill bitch                                                                                                                                                                                                                    |,Make a payment
|Pay the fucking bill                                                                                                                                                                                                                  |,Make a payment
|Pay a bill shit                                                                                                                                                                                                                       |,Make a payment
|Pay my motherfucking bill                                                                                                                                                                                                             |,Make a payment
|Pay fucking bill                                                                                                                                                                                                                      |,Make a payment
|Pay my cable bill you moron                                                                                                                                                                                                           |,Make a payment
|Pay your fucking bills pay your fucking bill spectrum goddamn fucking else                                                                                                                                                            |,Make a payment
|Pay my Internet bill dumbass                                                                                                                                                                                                          |,Make a payment
|Pay pay bill bitch                                                                                                                                                                                                                    |,Make a payment
|Pay bill stupid bitch                                                                                                                                                                                                                 |,Make a payment
|Discon pay my bill                                                                                                                                                                                                                    |,Make a payment
|Pay my bill dumbass                                                                                                                                                                                                                   |,Make a payment
|Pay my bill fuck                                                                                                                                                                                                                      |,Make a payment
|Pay my bill goddamnit pay my bill                                                                                                                                                                                                     |,Make a payment
|Pay bill fucking cunt                                                                                                                                                                                                                                                                                       |,Make a payment
|Pay my bill you mother fucker                                                                                                                                                                                                                                                                               |,Make a payment
|Cancel my fucking bill                                                                                                                                                                                                                                                                                      |,Make a payment
|Checking my bill pay my bill you fucking scumbag                                                                                                                                                                                                                                                            |,Make a payment
|Pay my bill fucking stupid                                                                                                                                                                                                                                                                                  |,Make a payment
|Fuck billing give me some fucking body                                                                                                                                                                                                                                                                      |,Make a payment
|Fucking bill pay                                                                                                                                                                                                                                                                                            |,Make a payment
|Help fucking bill                                                                                                                                                                                                                                                                                           |,Make a payment
|Pay the bill bitch                                                                                                                                                                                                                                                                                          |,Make a payment
|Pay my bill bitch pay her                                                                                                                                                                                                                                                                                   |,Make a payment
|Bill pay my bill stupid ass shit                                                                                                                                                                                                                                                                            |,Make a payment
|Pay my bill stupid                                                                                                                                                                                                                                                                                          |,Make a payment
|Pay my bill what the fuck                                                                                                                                                                                                                                                                                   |,Make a payment
|Pay bill motherfuckers                                                                                                                                                                                                                                                                                      |,Make a payment
|Pay bill fucking dumb bitch                                                                                                                                                                                                                                                                                 |,Make a payment
|Yo man pay my bill                                                                                                                                                                                                                                                                                          |,Make a payment
|Pay my bill please for god sakes                                                                                                                                                                                                                                                                            |,Make a payment
|Pay my bill motherfucker                                                                                                                                                                                                                                                                                    |,Make a payment
|Pay my damn drug crazy bill                                                                                                                                                                                                                                                                                 |,Make a payment
|Bill pay a damn bill                                                                                                                                                                                                                                                                                        |,Make a payment
|Pay a bill damn auto                                                                                                                                                                                                                                                                                        |,Make a payment
|Change my damn bill                                                                                                                                                                                                                                                                                         |,Make a payment
|Pay my bill pay pay my bill pay my bill pay my bill motherfucker                                                                                                                                                                                                                                            |,Make a payment
|Fucking stupid bill payment                                                                                                                                                                                                                                                                                 |,Make a payment
|Pay my bill you idiot                                                                                                                                                                                                                                                                                       |,Make a payment
|Pay damn bill                                                                                                                                                                                                                                                                                               |,Make a payment
|Pay my fucking bill hello                                                                                                                                                                                                                                                                                   |,Make a payment
|Pay a bill the fuck                                                                                                                                                                                                                                                                                         |,Make a payment
|Pay that goddamn bill                                                                                                                                                                                                                                                                                       |,Make a payment
|Pay a bill pay a fucking bill                                                                                                                                                                                                                                                                               |,Make a payment
|Pay the bill god damn                                                                                                                                                                                                                                                                                       |,Make a payment
|Pay my bill nowhere cancel my damn wallet                                                                                                                                                                                                                                                                   |,Make a payment
|Show my bill damn                                                                                                                                                                                                                                                                                           |,Make a payment
|Pay my bill fuck you                                                                                                                                                                                                                                                                                        |,Make a payment
|Pay pay my bill oh my god                                                                                                                                                                                                                                                                                   |,Make a payment
|Pay bill intention whatever the fuck                                                                                                                                                                                                                                                                        |,Make a payment
|Pay my bill you dumb bitch                                                                                                                                                                                                                                                                                  |,Make a payment
|You suck bill                                                                                                                                                                                                                                                                                               |,Make a payment
|Pay a bill so you fucking stop calling me every goddamn day                                                                                                                                                                                                                                                 |,Make a payment
|Pay my bill nigga                                                                                                                                                                                                                                                                                           |,Make a payment
|Go to fucking motherfucking bill                                                                                                                                                                                                                                                                            |,Make a payment
|Pay my bill you stupid cunt                                                                                                                                                                                                                                                                                 |,Make a payment
|Pay my bill goddamn                                                                                                                                                                                                                                                                                         |,Make a payment
|Pay my bill fuck shit                                                                                                                                                                                                                                                                                       |,Make a payment
|Pay the bill you stupid idiot                                                                                                                                                                                                                                                                               |,Make a payment
|Pay my bill idiot                                                                                                                                                                                                                                                                                           |,Make a payment
|Pay my fucking bill you dumb nigger                                                                                                                                                                                                                                                                         |,Make a payment
|Pay the goddamn bill                                                                                                                                                                                                                                                                                        |,Make a payment
|Make a fucking pay my bill                                                                                                                                                                                                                                                                                  |,Make a payment
|Pay my bill damn it                                                                                                                                                                                                                                                                                         |,Make a payment
|Pay his bill and get my fucking money back from this bitch                                                                                                                                                                                                                                                  |,Make a payment
|Can I just pay pay my bill pay my bill pay my fucking bill                                                                                                                                                                                                                                                  |,Make a payment
|Stupid bitch pay bill                                                                                                                                                                                                                                                                                       |,Make a payment
